,Region,Country,State,City,Month,Day,Year,AvgTemperature
549249,Asia,Uzbekistan,,Tashkent,1,1,1995,40.3
549250,Asia,Uzbekistan,,Tashkent,1,2,1995,40.6
549251,Asia,Uzbekistan,,Tashkent,1,3,1995,42.5
549252,Asia,Uzbekistan,,Tashkent,1,4,1995,41.6
549253,Asia,Uzbekistan,,Tashkent,1,5,1995,44.0
549254,Asia,Uzbekistan,,Tashkent,1,6,1995,29.3
549255,Asia,Uzbekistan,,Tashkent,1,7,1995,21.3
549256,Asia,Uzbekistan,,Tashkent,1,8,1995,22.2
549257,Asia,Uzbekistan,,Tashkent,1,9,1995,22.7
549258,Asia,Uzbekistan,,Tashkent,1,10,1995,24.0
549259,Asia,Uzbekistan,,Tashkent,1,11,1995,34.8
549260,Asia,Uzbekistan,,Tashkent,1,12,1995,38.4
549261,Asia,Uzbekistan,,Tashkent,1,13,1995,41.1
549262,Asia,Uzbekistan,,Tashkent,1,14,1995,35.2
549263,Asia,Uzbekistan,,Tashkent,1,15,1995,31.7
549264,Asia,Uzbekistan,,Tashkent,1,16,1995,31.0
549265,Asia,Uzbekistan,,Tashkent,1,17,1995,32.7
549266,Asia,Uzbekistan,,Tashkent,1,18,1995,37.7
549267,Asia,Uzbekistan,,Tashkent,1,19,1995,32.5
549268,Asia,Uzbekistan,,Tashkent,1,20,1995,33.4
549269,Asia,Uzbekistan,,Tashkent,1,21,1995,31.8
549270,Asia,Uzbekistan,,Tashkent,1,22,1995,33.8
549271,Asia,Uzbekistan,,Tashkent,1,23,1995,31.2
549272,Asia,Uzbekistan,,Tashkent,1,24,1995,36.5
549273,Asia,Uzbekistan,,Tashkent,1,25,1995,33.6
549274,Asia,Uzbekistan,,Tashkent,1,26,1995,32.8
549275,Asia,Uzbekistan,,Tashkent,1,27,1995,40.6
549276,Asia,Uzbekistan,,Tashkent,1,28,1995,34.7
549277,Asia,Uzbekistan,,Tashkent,1,29,1995,37.4
549278,Asia,Uzbekistan,,Tashkent,1,30,1995,40.6
549279,Asia,Uzbekistan,,Tashkent,1,31,1995,41.0
549280,Asia,Uzbekistan,,Tashkent,2,1,1995,43.7
549281,Asia,Uzbekistan,,Tashkent,2,2,1995,45.5
549282,Asia,Uzbekistan,,Tashkent,2,3,1995,45.9
549283,Asia,Uzbekistan,,Tashkent,2,4,1995,47.4
549284,Asia,Uzbekistan,,Tashkent,2,5,1995,54.0
549285,Asia,Uzbekistan,,Tashkent,2,6,1995,45.8
549286,Asia,Uzbekistan,,Tashkent,2,7,1995,37.1
549287,Asia,Uzbekistan,,Tashkent,2,8,1995,43.2
549288,Asia,Uzbekistan,,Tashkent,2,9,1995,49.2
549289,Asia,Uzbekistan,,Tashkent,2,10,1995,46.9
549290,Asia,Uzbekistan,,Tashkent,2,11,1995,42.9
549291,Asia,Uzbekistan,,Tashkent,2,12,1995,44.2
549292,Asia,Uzbekistan,,Tashkent,2,13,1995,45.9
549293,Asia,Uzbekistan,,Tashkent,2,14,1995,44.1
549294,Asia,Uzbekistan,,Tashkent,2,15,1995,43.4
549295,Asia,Uzbekistan,,Tashkent,2,16,1995,40.4
549296,Asia,Uzbekistan,,Tashkent,2,17,1995,27.7
549297,Asia,Uzbekistan,,Tashkent,2,18,1995,26.3
549298,Asia,Uzbekistan,,Tashkent,2,19,1995,29.2
549299,Asia,Uzbekistan,,Tashkent,2,20,1995,31.6
549300,Asia,Uzbekistan,,Tashkent,2,21,1995,35.5
549301,Asia,Uzbekistan,,Tashkent,2,22,1995,37.9
549302,Asia,Uzbekistan,,Tashkent,2,23,1995,42.2
549303,Asia,Uzbekistan,,Tashkent,2,24,1995,46.3
549304,Asia,Uzbekistan,,Tashkent,2,25,1995,40.8
549305,Asia,Uzbekistan,,Tashkent,2,26,1995,33.1
549306,Asia,Uzbekistan,,Tashkent,2,27,1995,32.9
549307,Asia,Uzbekistan,,Tashkent,2,28,1995,34.1
549308,Asia,Uzbekistan,,Tashkent,3,1,1995,39.0
549309,Asia,Uzbekistan,,Tashkent,3,2,1995,45.2
549310,Asia,Uzbekistan,,Tashkent,3,3,1995,38.0
549311,Asia,Uzbekistan,,Tashkent,3,4,1995,40.7
549312,Asia,Uzbekistan,,Tashkent,3,5,1995,38.1
549313,Asia,Uzbekistan,,Tashkent,3,6,1995,41.5
549314,Asia,Uzbekistan,,Tashkent,3,7,1995,41.7
549315,Asia,Uzbekistan,,Tashkent,3,8,1995,43.6
549316,Asia,Uzbekistan,,Tashkent,3,9,1995,44.7
549317,Asia,Uzbekistan,,Tashkent,3,10,1995,46.4
549318,Asia,Uzbekistan,,Tashkent,3,11,1995,44.1
549319,Asia,Uzbekistan,,Tashkent,3,12,1995,48.4
549320,Asia,Uzbekistan,,Tashkent,3,13,1995,39.5
549321,Asia,Uzbekistan,,Tashkent,3,14,1995,33.1
549322,Asia,Uzbekistan,,Tashkent,3,15,1995,37.1
549323,Asia,Uzbekistan,,Tashkent,3,16,1995,52.2
549324,Asia,Uzbekistan,,Tashkent,3,17,1995,64.2
549325,Asia,Uzbekistan,,Tashkent,3,18,1995,66.9
549326,Asia,Uzbekistan,,Tashkent,3,19,1995,53.2
549327,Asia,Uzbekistan,,Tashkent,3,20,1995,48.8
549328,Asia,Uzbekistan,,Tashkent,3,21,1995,49.5
549329,Asia,Uzbekistan,,Tashkent,3,22,1995,51.1
549330,Asia,Uzbekistan,,Tashkent,3,23,1995,54.6
549331,Asia,Uzbekistan,,Tashkent,3,24,1995,56.4
549332,Asia,Uzbekistan,,Tashkent,3,25,1995,54.9
549333,Asia,Uzbekistan,,Tashkent,3,26,1995,62.6
549334,Asia,Uzbekistan,,Tashkent,3,27,1995,56.6
549335,Asia,Uzbekistan,,Tashkent,3,28,1995,48.4
549336,Asia,Uzbekistan,,Tashkent,3,29,1995,50.1
549337,Asia,Uzbekistan,,Tashkent,3,30,1995,52.2
549338,Asia,Uzbekistan,,Tashkent,3,31,1995,56.3
549339,Asia,Uzbekistan,,Tashkent,4,1,1995,55.2
549340,Asia,Uzbekistan,,Tashkent,4,2,1995,55.6
549341,Asia,Uzbekistan,,Tashkent,4,3,1995,57.8
549342,Asia,Uzbekistan,,Tashkent,4,4,1995,60.7
549343,Asia,Uzbekistan,,Tashkent,4,5,1995,62.3
549344,Asia,Uzbekistan,,Tashkent,4,6,1995,60.2
549345,Asia,Uzbekistan,,Tashkent,4,7,1995,55.3
549346,Asia,Uzbekistan,,Tashkent,4,8,1995,47.2
549347,Asia,Uzbekistan,,Tashkent,4,9,1995,52.2
549348,Asia,Uzbekistan,,Tashkent,4,10,1995,57.2
549349,Asia,Uzbekistan,,Tashkent,4,11,1995,60.8
549350,Asia,Uzbekistan,,Tashkent,4,12,1995,63.6
549351,Asia,Uzbekistan,,Tashkent,4,13,1995,61.1
549352,Asia,Uzbekistan,,Tashkent,4,14,1995,54.0
549353,Asia,Uzbekistan,,Tashkent,4,15,1995,57.4
549354,Asia,Uzbekistan,,Tashkent,4,16,1995,64.3
549355,Asia,Uzbekistan,,Tashkent,4,17,1995,69.4
549356,Asia,Uzbekistan,,Tashkent,4,18,1995,64.7
549357,Asia,Uzbekistan,,Tashkent,4,19,1995,63.6
549358,Asia,Uzbekistan,,Tashkent,4,20,1995,63.8
549359,Asia,Uzbekistan,,Tashkent,4,21,1995,63.5
549360,Asia,Uzbekistan,,Tashkent,4,22,1995,60.0
549361,Asia,Uzbekistan,,Tashkent,4,23,1995,61.4
549362,Asia,Uzbekistan,,Tashkent,4,24,1995,62.2
549363,Asia,Uzbekistan,,Tashkent,4,25,1995,64.6
549364,Asia,Uzbekistan,,Tashkent,4,26,1995,65.8
549365,Asia,Uzbekistan,,Tashkent,4,27,1995,68.0
549366,Asia,Uzbekistan,,Tashkent,4,28,1995,65.9
549367,Asia,Uzbekistan,,Tashkent,4,29,1995,71.3
549368,Asia,Uzbekistan,,Tashkent,4,30,1995,69.0
549369,Asia,Uzbekistan,,Tashkent,5,1,1995,71.4
549370,Asia,Uzbekistan,,Tashkent,5,2,1995,72.4
549371,Asia,Uzbekistan,,Tashkent,5,3,1995,76.7
549372,Asia,Uzbekistan,,Tashkent,5,4,1995,71.1
549373,Asia,Uzbekistan,,Tashkent,5,5,1995,73.3
549374,Asia,Uzbekistan,,Tashkent,5,6,1995,78.1
549375,Asia,Uzbekistan,,Tashkent,5,7,1995,79.5
549376,Asia,Uzbekistan,,Tashkent,5,8,1995,76.6
549377,Asia,Uzbekistan,,Tashkent,5,9,1995,70.2
549378,Asia,Uzbekistan,,Tashkent,5,10,1995,67.0
549379,Asia,Uzbekistan,,Tashkent,5,11,1995,70.8
549380,Asia,Uzbekistan,,Tashkent,5,12,1995,72.4
549381,Asia,Uzbekistan,,Tashkent,5,13,1995,71.5
549382,Asia,Uzbekistan,,Tashkent,5,14,1995,72.1
